state,year,month,landslide
MANIPUR,2020.0,6.0,1
MANIPUR,2020.0,6.0,1
ARUNACHAL PRADESH,2020.0,7.0,1
ARUNACHAL PRADESH,2020.0,6.0,1
ASSAM,2020.0,6.0,1
MEGHALAYA,2020.0,5.0,1
SIKKIM,2020.0,5.0,1
SIKKIM,2020.0,5.0,1
MEGHALAYA,2020.0,5.0,1
MANIPUR,2019.0,7.0,1
NAGALAND,2019.0,10.0,1
ASSAM,2019.0,7.0,1
SIKKIM,2019.0,6.0,1
NAGALAND,2019.0,5.0,1
SIKKIM,2019.0,4.0,1
ASSAM,2018.0,8.0,1
SIKKIM,2018.0,8.0,1
SIKKIM,2018.0,8.0,1
MANIPUR,2018.0,8.0,1
SIKKIM,2018.0,7.0,1
MANIPUR,2018.0,7.0,1
MANIPUR,2018.0,7.0,1
NAGALAND,2018.0,7.0,1
MANIPUR,2018.0,7.0,1
ASSAM,2018.0,6.0,1
MANIPUR,2018.0,6.0,1
MANIPUR,2018.0,6.0,1
MANIPUR,2018.0,6.0,1
MIZORAM,2018.0,6.0,1
NAGALAND,2018.0,5.0,1
TRIPURA,2018.0,5.0,1
ASSAM,2018.0,5.0,1
MANIPUR,2018.0,5.0,1
SIKKIM,2017.0,9.0,1
MANIPUR,2017.0,6.0,1
ASSAM,2017.0,6.0,1
MEGHALAYA,2017.0,6.0,1
ASSAM,2017.0,7.0,1
NAGALAND,2017.0,7.0,1
SIKKIM,2017.0,7.0,1
MANIPUR,2017.0,5.0,1
ARUNACHAL PRADESH,2017.0,7.0,1
SIKKIM,2016.0,1.0,1
ARUNACHAL PRADESH,2016.0,4.0,1
ARUNACHAL PRADESH,2016.0,4.0,1
